date,day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
2017-01-06,Saturday,25.0,33.0,60.0,95.0,Partly cloudy.,Partly Cloudy (Day),10.0,25.0,SW,47.33,32.92,34.42,30.83,32.08,35.52,north_avg_daily_psi,Good,0.0,0.0,0.0,0.0,28.7,31.7,26.4,5.4,22.0,61.11,2.79
2017-01-07,Sunday,24.0,33.0,55.0,95.0,Predawn hours and early morning thundery showers.,Thundery Showers,10.0,20.0,SW,57.42,53.0,51.75,52.42,51.17,53.15,north_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,29.4,33.5,26.9,6.1,23.0,70.39,3.64
2017-01-08,Monday,25.0,34.0,55.0,95.0,Fair,Fair (Day),10.0,20.0,N,55.17,53.25,52.08,47.0,46.67,50.83,north_avg_daily_psi,Good,0.0,0.0,0.0,0.0,29.2,32.9,26.6,6.1,22.7,67.84,3.52
2017-01-09,Tuesday,25.0,34.0,55.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,NNE,51.58,50.08,42.58,45.08,48.75,47.62,north_avg_daily_psi,Good,0.0,0.0,0.0,0.0,29.0,32.5,27.3,5.8,20.9,69.11,2.16
2017-01-10,Wednesday,25.0,34.0,55.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,N,54.67,51.25,52.83,51.5,52.0,52.45,north_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.8,33.8,27.1,6.1,26.3,70.27,2.1
2017-01-11,Thursday,24.0,33.0,55.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,NW,51.5,52.67,52.58,51.92,53.83,52.5,central_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.7,32.6,26.6,5.8,22.7,69.09,2.44
2017-01-12,Friday,24.0,33.0,60.0,95.0,Predawn hours and early morning thundery showers.,Thundery Showers,10.0,25.0,NW,57.67,53.83,53.42,51.75,54.42,54.22,north_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.5,31.9,26.2,5.4,20.9,69.11,2.2
2017-01-13,Saturday,25.0,33.0,60.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,WNW,63.58,55.75,56.92,54.25,55.17,57.13,north_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.5,32.3,26.6,5.4,20.9,0.0,1.79
2017-01-14,Sunday,23.0,32.0,60.0,95.0,Predawn hours and early morning thundery showers.,Thundery Showers,10.0,25.0,WNW,55.0,58.0,57.33,52.5,59.58,56.48,central_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.1,30.2,26.0,5.8,19.4,69.26,2.68
2017-01-15,Monday,24.0,33.0,60.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,NW,56.67,60.92,61.42,54.0,56.92,57.98,east_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.6,31.4,26.3,5.4,27.4,68.65,1.69
2017-01-16,Tuesday,24.0,33.0,55.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,N,53.67,51.42,55.42,48.08,53.33,52.38,east_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,28.5,31.8,25.8,6.8,31.3,61.56,1.85
2017-01-17,Wednesday,24.0,33.0,60.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,N,53.08,50.67,53.0,48.83,50.83,51.28,north_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,11.2,77.24,0.0
2017-01-18,Thursday,24.0,33.0,60.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,20.0,NNW,52.08,53.08,54.08,48.33,50.83,51.68,east_avg_daily_psi,Moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,25.2,67.55,2.87
2017-01-19,Friday,24.0,33.0,60.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,20.0,N,52.08,48.42,52.75,49.33,44.08,49.33,east_avg_daily_psi,Good,22.8,18.8,21.6,22.8,27.5,31.9,25.8,6.1,21.6,73.23,3.19
2017-01-20,Saturday,24.0,33.0,55.0,95.0,Afternoon thundery showers.,Thundery Showers,10.0,25.0,N,50.42,50.33,53.83,40.5,44.58,47.93,east_avg_daily_psi,Good,2.8,2.8,2.8,2.8,0.0,0.0,0.0,8.3,33.8,80.37,0.0
